Kategori,SubMateri,Tingkat,Pertanyaan,Pembahasan,OpsiA,SkorA,OpsiB,SkorB,OpsiC,SkorC,OpsiD,SkorD,OpsiE,SkorE
TWK,Nasionalisme,MUDAH,"Pentingnya Selat Hormuz bagi ekonomi dunia mirip dengan pentingnya Selat Malaka bagi Indonesia. Rasa memiliki dan menjaga wilayah ini merupakan wujud dari...","Cinta tanah air.","Nasionalisme",5,"Chauvinisme",0,"Etnosentrisme",0,"Patriotisme agresif",0,"Kosmopolitanisme",0
TWK,Integritas,SEDANG,"Kenaikan harga minyak akibat blokade Selat Hormuz memicu oknum menimbun BBM bersubsidi. Upaya pencegahan korupsi yang efektif di sektor ini adalah...","Pengawasan dan digitalisasi mencegah penyimpangan.","Membiarkan sesuai mekanisme pasar",0,"Melakukan digitalisasi penyaluran subsidi tepat sasaran",5,"Menurunkan harga BBM",0,"Menghukum mati semua penimbun di tempat",0,"Mengimpor minyak lebih banyak",0
TWK,Bahasa Indonesia,SEDANG,"Kalimat baku untuk laporan situasi: 'Kapal tanker itu di hadang saat melintasi selat Hormuz.' Kesalahan pada kalimat tersebut adalah...","'dihadang' harusnya dirangkai, dan 'Selat Hormuz' diawali huruf kapital.","Penggunaan kata tanker",0,"Penulisan 'di hadang' dan 'selat'",5,"Penggunaan kata saat",0,"Penulisan 'melintasi'",0,"Tidak ada subjek",0
TWK,Pilar Negara,SEDANG,"Kebebasan navigasi di selat internasional diatur dalam UNCLOS. Posisi UUD 1945 terhadap hukum internasional yang telah diratifikasi adalah...","Hukum internasional yang diratifikasi menjadi bagian hukum nasional.","Mengabaikannya jika tidak menguntungkan",0,"Hukum nasional berada di bawah hukum internasional",0,"Menjadi bagian dari peraturan perundang-undangan nasional",5,"Hanya sebagai pedoman etis",0,"Ditolak karena produk asing",0
TWK,Bela Negara,SULIT,"Jika krisis Selat Hormuz berdampak pada ketahanan pangan dan energi riil, apa peran komponen cadangan negara?","Dikerahkan melalui mobilisasi oleh Presiden dengan persetujuan DPR.","Langsung turun ke jalan",0,"Dikerahkan setelah ada perintah mobilisasi oleh Presiden",5,"Membantu kepolisian mengatur lalu lintas",0,"Menggantikan fungsi anggota dewan",0,"Bersembunyi hingga krisis usai",0
TWK,Nasionalisme,MUDAH,"Menyikapi blokade ekonomi antarnegara, Indonesia terus berupaya mandiri secara ekonomi. Hal ini sejalan dengan Trisakti Bung Karno, yaitu...","Berdikari (Berdiri di Atas Kaki Sendiri) secara ekonomi.","Berdaulat di bidang politik",0,"Berdikari di bidang ekonomi",5,"Berkepribadian dalam kebudayaan",0,"Keadilan sosial bagi seluruh rakyat",0,"Persatuan dan kesatuan",0
TWK,Pilar Negara,MUDAH,"Program Makan Bergizi Gratis (MBG) merupakan wujud nyata implementasi UUD 1945 Pasal 34 ayat (2) yang mengatur tentang...","Negara mengembangkan sistem jaminan sosial bagi seluruh rakyat dan memberdayakan masyarakat yang lemah.","Pendidikan dasar",0,"Kesehatan masyarakat",0,"Sistem jaminan sosial bagi seluruh rakyat",5,"Pekerjaan yang layak",0,"Kebebasan beragama",0
TWK,Pancasila,SEDANG,"Program Makan Bergizi Gratis (MBG) bertujuan mengurangi stunting dan ketimpangan. Hal ini sangat mencerminkan pengamalan Pancasila sila ke...","Sila ke-5, Keadilan sosial bagi seluruh rakyat Indonesia.","Satu",0,"Dua",0,"Tiga",0,"Empat",0,"Lima",5
TWK,Bela Negara,MUDAH,"Meningkatkan kualitas SDM melalui gizi yang baik pada program MBG adalah bentuk bela negara dalam aspek...","Menyiapkan SDM unggul untuk masa depan bangsa.","Pertahanan militer",0,"Menyiapkan sumber daya manusia yang berkualitas",5,"Penegakan hukum",0,"Pertahanan siber",0,"Diplomasi luar negeri",0
TWK,Integritas,SEDANG,"Potensi kebocoran anggaran pada program MBG cukup besar. Sikap ASN pengelola dana tersebut agar tetap berintegritas adalah...","Transparan dan akuntabel.","Menerima fee dari pemasok asalkan kualitas makanan tetap baik",0,"Melakukan proses pengadaan secara transparan dan akuntabel",5,"Menunjuk keluarga sendiri agar kualitas terjamin",0,"Memotong anggaran sedikit untuk kas kantor",0,"Menyerahkan semua urusan kepada pihak ketiga tanpa pengawasan",0
TWK,Nasionalisme,SEDANG,"Penyediaan bahan baku Makan Bergizi Gratis sebaiknya mengutamakan hasil panen petani lokal. Hal ini sesuai dengan semangat...","Cinta produk dalam negeri dan pemberdayaan ekonomi rakyat.","Chauvinisme",0,"Cinta tanah air dan produk dalam negeri",5,"Globalisasi ekonomi",0,"Pasar bebas",0,"Nasionalisasi aset",0
TWK,Pilar Negara,SULIT,"Anggaran program MBG harus disetujui dalam APBN. Lembaga yang memiliki fungsi anggaran (budgeting) untuk menyetujuinya adalah...","DPR RI.","Presiden",0,"MPR",0,"BPK",0,"DPR",5,"DPD",0
TWK,Bahasa Indonesia,MUDAH,"Pemenggalan kata yang benar untuk kata 'bergizi' adalah...","ber-gi-zi.","ber-gi-zi",5,"be-rgi-zi",0,"ber-giz-i",0,"berg-i-zi",0,"be-rg-izi",0
TWK,Bela Negara,SEDANG,"Seorang guru memantau pelaksanaan makan bergizi gratis di sekolahnya dengan penuh tanggung jawab. Sikap ini menunjukkan...","Pengabdian sesuai profesi.","Sikap rela berkorban waktu",0,"Pengabdian sesuai dengan profesi",5,"Kepatuhan pada atasan",0,"Kewajiban administratif",0,"Cari muka di depan kepala sekolah",0
TWK,Pancasila,SULIT,"Dalam penyusunan menu MBG, panitia melibatkan ahli gizi, perwakilan orang tua, dan penyedia lokal untuk berdiskusi menetapkan menu terbaik. Ini wujud pengamalan sila...","Sila keempat, musyawarah.","Kedua",0,"Ketiga",0,"Keempat",5,"Kelima",0,"Pertama",0
TIU,Analogi,MUDAH,"AMERIKA SERIKAT : WASHINGTON D.C. = IRAN : ...","Ibukota Iran adalah Teheran.","Baghdad",0,"Teheran",5,"Kabul",0,"Riyadh",0,"Damaskus",0
TIU,Numerik,SEDANG,"Sebuah rudal diluncurkan dengan kecepatan 2.400 km/jam. Berapa waktu yang dibutuhkan untuk menempuh jarak tempuh 1.800 km?","Waktu = Jarak / Kecepatan = 1800 / 2400 = 0,75 jam = 45 menit.","30 menit",0,"40 menit",0,"45 menit",5,"50 menit",0,"60 menit",0
TIU,Silogisme,SEDANG,"Semua prajurit di medan perang menggunakan helm pelindung. Sebagian pasukan elit adalah prajurit di medan perang. Kesimpulan:","Sebagian pasukan elit menggunakan helm pelindung.","Semua pasukan elit menggunakan helm pelindung.",0,"Sebagian pasukan elit menggunakan helm pelindung.",5,"Semua prajurit adalah pasukan elit.",0,"Sebagian prajurit tidak menggunakan helm.",0,"Tidak ada kesimpulan.",0
TIU,Deret Angka,SULIT,"Tingkat eskalasi perang diukur dalam indeks harian: 3, 5, 9, 17, 33, ... Angka indeks selanjutnya adalah?","Pola: selisih 2, 4, 8, 16, 32. 33 + 32 = 65.","60",0,"63",0,"65",5,"67",0,"70",0
TIU,Sinonim,MUDAH,"Sinonim dari kata EMBARGO adalah...","Embargo berarti larangan lalu lintas barang (antarnegara).","Larangan",5,"Persetujuan",0,"Perlindungan",0,"Penghargaan",0,"Pembebasan",0
TIU,Analitik,SEDANG,"Dalam perundingan damai, duduk berderet 5 kursi delegasi AS, Iran, Turki, Rusia, dan China. Rusia di antara Turki dan China. AS di sebelah Turki. Iran di sebelah China. Siapakah yang duduk di ujung?","Posisi: AS-Turki-Rusia-China-Iran atau Iran-China-Rusia-Turki-AS. Ujung: AS dan Iran.","AS dan Rusia",0,"Iran dan China",0,"AS dan Iran",5,"Turki dan China",0,"Rusia dan Iran",0
TIU,Numerik,SULIT,"Akibat perang, harga minyak mentah naik 15% pada bulan pertama, lalu turun 10% pada bulan kedua. Jika harga awal adalah $80 per barel, berapakah harga akhirnya?","Bulan 1: 80 * 1.15 = 92. Bulan 2: 92 * 0.9 = 82.8.","$82.8",5,"$84",0,"$80",0,"$85.2",0,"$81.5",0
TIU,Antonim,SEDANG,"Antonim dari kata AGRESI adalah...","Agresi berarti penyerangan. Antonimnya adalah damai/pertahanan/pasifisme. Damai lebih tepat.","Perang",0,"Invasi",0,"Damai",5,"Serangan",0,"Taktik",0
TIU,Analogi,SEDANG,"SELAT HORMUZ : ASIA = TERUSAN PANAMA : ...","Terusan Panama berada di benua Amerika.","Afrika",0,"Amerika",5,"Eropa",0,"Australia",0,"Antartika",0
TIU,Numerik,MUDAH,"Sebuah kapal tanker melewati Selat Hormuz sepanjang 167 km. Jika kecepatan kapal adalah 40 km/jam, berapa lama waktu tempuhnya secara kasar?","167 / 40 = 4,175 jam.","3 jam",0,"3.5 jam",0,"4.175 jam",5,"4.5 jam",0,"5 jam",0
TIU,Silogisme,SULIT,"Semua kapal kargo yang melewati perairan konflik harus dikawal militer. Sebagian kapal tanker adalah kapal kargo. Kesimpulan:","Sebagian kapal tanker yang melewati perairan konflik harus dikawal militer.","Semua kapal tanker dikawal militer.",0,"Sebagian kapal tanker dikawal militer jika melewati perairan konflik.",5,"Semua kapal yang dikawal militer adalah kapal tanker.",0,"Sebagian militer mengawal kapal tanker.",0,"Tidak dapat disimpulkan.",0
TIU,Deret Angka,SEDANG,"Jumlah barel minyak yang lewat (dalam juta) per jam: 5, 11, 23, 47, ... Angka berikutnya?","Pola: x2 + 1. 47 x 2 + 1 = 95.","90",0,"93",0,"95",5,"97",0,"100",0
TIU,Sinonim,MUDAH,"Sinonim dari STRATEGIS adalah...","Sangat penting / taktis.","Biasa",0,"Penting",5,"Luas",0,"Sempit",0,"Dangkal",0
TIU,Analitik,SEDANG,"Ada 4 kapal: A, B, C, D mengantre melewati selat. B melintas setelah A tetapi sebelum D. C melintas sebelum A. Urutan yang benar adalah...","C, A, B, D","A, B, C, D",0,"C, B, A, D",0,"C, A, B, D",5,"D, B, A, C",0,"A, C, B, D",0
TIU,Numerik,SEDANG,"Jika 30% dari 5.000 kapal yang melintas adalah kapal tanker minyak, dan 2/3 dari kapal tanker tersebut menuju Asia, berapa kapal tanker yang menuju Asia?","30% * 5000 = 1500. 2/3 * 1500 = 1000.","500",0,"800",0,"1000",5,"1200",0,"1500",0
TIU,Antonim,SEDANG,"Antonim dari kata BLOKADE adalah...","Blokade (penutupan/penghalangan). Antonimnya pembukaan/akses.","Penutupan",0,"Penghalangan",0,"Akses",5,"Serangan",0,"Penjagaan",0
TIU,Analogi,SULIT,"OMBAK : LAUT = PASIR : ...","Ombak identik dengan laut, pasir identik dengan gurun/pantai.","Batu",0,"Gurun",5,"Air",0,"Angin",0,"Pohon",0
TIU,Numerik,SULIT,"Pemerintah menganggarkan Rp15.000 per anak per hari untuk MBG. Jika di suatu desa ada 250 anak dan MBG diberikan 20 hari sebulan, berapa total anggarannya selama 3 bulan?","15.000 * 250 = 3.750.000 per hari. Sebulan (20 hari) = 75.000.000. Tiga bulan = 225.000.000.","Rp 200.000.000",0,"Rp 215.000.000",0,"Rp 225.000.000",5,"Rp 250.000.000",0,"Rp 300.000.000",0
TIU,Silogisme,SEDANG,"Semua menu MBG mengandung protein tinggi. Telur rebus adalah menu MBG. Kesimpulan:","Telur rebus mengandung protein tinggi.","Semua telur rebus adalah MBG.",0,"Telur rebus mengandung protein tinggi.",5,"Sebagian menu MBG adalah telur rebus.",0,"Telur rebus menyehatkan.",0,"Tidak ada kesimpulan.",0
TIU,Analogi,MUDAH,"KARBOHIDRAT : NASI = PROTEIN : ...","Sumber protein.","Sayur",0,"Buah",0,"Ikan",5,"Air",0,"Vitamin",0
TIU,Deret Angka,SEDANG,"Deret jumlah siswa penerima MBG di 5 sekolah: 120, 145, 170, 195, ...","Pola: +25. 195 + 25 = 220.","210",0,"215",0,"220",5,"225",0,"230",0
TIU,Numerik,SEDANG,"Satu porsi makan memiliki komposisi 40% karbohidrat, 30% protein, 20% sayur, dan sisanya buah. Jika berat total porsi 500 gram, berapa berat buah?","Sisanya = 10%. 10% * 500 = 50 gram.","30 gram",0,"40 gram",0,"50 gram",5,"60 gram",0,"70 gram",0
TIU,Sinonim,MUDAH,"Sinonim dari kata BERGIZI adalah...","Bermanfaat/Menyehatkan/Nutritif.","Mengenyangkan",0,"Nutritif",5,"Mahal",0,"Murah",0,"Berlebihan",0
TIU,Antonim,MUDAH,"Antonim dari KEKURANGAN GIZI adalah...","Gizi buruk (malnutrisi) lawannya Gizi baik/cukup.","Kelaparan",0,"Kemiskinan",0,"Gizi cukup",5,"Kegemukan",0,"Kecukupan",0
TIU,Analitik,SULIT,"Jadwal distribusi MBG: SD A dikirim setelah SD C tapi sebelum SD B. SD D dikirim paling awal. Urutan pengiriman adalah?","D, C, A, B.","D, A, C, B",0,"C, D, A, B",0,"D, C, A, B",5,"D, B, C, A",0,"C, A, D, B",0
TKP,Anti Radikalisme,SULIT,"Anda melihat seorang rekan kerja di instansi sering membagikan konten provokatif dan hoaks terkait perang AS-Iran yang membenci negara tertentu dan mengajak boikot secara anarkis. Sikap Anda?","Pilihan terbaik: Mengingatkan dan melaporkan jika tidak berubah/membahayakan.","Menegurnya secara pribadi dan mengingatkan bahaya menyebar hoaks.",5,"Melaporkan langsung ke atasan tanpa menegurnya terlebih dahulu.",4,"Membiarkan saja karena itu hak kebebasan berpendapat.",1,"Ikut berdebat di kolom komentar postingannya.",2,"Membatasi pergaulan dengannya di kantor.",3
TKP,TIK,SEDANG,"Beredar video viral di grup WhatsApp kantor tentang jatuhnya pesawat terkait perang AS-Iran yang ternyata video game. Anda mengetahui fakta tersebut. Tindakan Anda?","Memberikan informasi yang benar/klarifikasi.","Menyampaikan klarifikasi di grup dengan menyertakan link sumber berita yang valid.",5,"Menghapus video tersebut dari HP saya.",2,"Mengabaikannya karena tidak ada hubungannya dengan pekerjaan.",3,"Menertawakan mereka yang percaya video tersebut di grup.",1,"Meminta admin grup untuk mengeluarkan penyebar video.",4
TKP,Profesionalisme,SEDANG,"Konflik geopolitik AS-Iran menyebabkan fluktuasi nilai tukar yang berdampak pada anggaran proyek di instansi Anda. Sebagai manajer proyek, apa yang Anda lakukan?","Responsif dan solutif.","Melakukan reviu ulang anggaran dan menyusun strategi efisiensi.",5,"Menunda proyek sampai nilai tukar kembali stabil.",3,"Mendesak atasan untuk segera menambah anggaran.",4,"Membiarkan proyek berjalan seadanya sampai dana habis.",1,"Mengurangi kualitas material secara diam-diam agar anggaran cukup.",2
TKP,Jejaring Kerja,SULIT,"Instansi Anda memiliki mitra kerja dari perusahaan multinasional yang negaranya sedang berkonflik (AS/Iran). Suasana rapat menjadi sedikit canggung. Sikap Anda?","Fokus pada tujuan kerja dan bersikap profesional.","Tetap bersikap profesional dan fokus pada agenda rapat demi kelancaran pekerjaan.",5,"Mengajak mereka berdiskusi tentang konflik tersebut untuk mencairkan suasana.",1,"Bersikap dingin dan membatasi komunikasi hanya pada hal yang sangat penting.",2,"Meminta atasan untuk mengganti mitra kerja.",3,"Menunjukkan simpati kepada salah satu pihak yang saya anggap benar.",4
TKP,Pelayanan Publik,MUDAH,"Masyarakat panik dan mendatangi kantor pelayanan Anda menanyakan dampak perang AS-Iran terhadap subsidi bahan pokok. Sikap Anda?","Memberikan pelayanan edukatif dan menenangkan.","Menjelaskan dengan tenang sesuai data resmi pemerintah bahwa stok aman.",5,"Menyuruh mereka pulang karena bukan urusan kantor Anda.",1,"Meminta mereka membaca berita sendiri di internet.",2,"Memberikan penjelasan seadanya agar mereka cepat pergi.",3,"Mencari informasi bersama-sama di internet saat itu juga.",4
TKP,Sosial Budaya,SEDANG,"Di lingkungan tempat tinggal Anda, terjadi perdebatan panas antar tetangga yang membela pihak-pihak berbeda dalam konflik Timur Tengah. Anda diminta menjadi penengah. Langkah Anda?","Meredam konflik dengan mengingatkan nilai persatuan.","Mengingatkan bahwa persatuan warga lebih penting daripada konflik negara lain.",5,"Membela pihak yang argumennya paling masuk akal.",2,"Menyarankan mereka untuk mengadakan debat resmi di balai desa.",3,"Menghindari terlibat dan langsung pulang ke rumah.",4,"Melaporkan mereka ke polisi agar diam.",1
TKP,Anti Radikalisme,SULIT,"Seorang teman mencoba meyakinkan Anda bahwa konflik AS-Iran adalah perang suci dan mengajak Anda berdonasi ke lembaga yang tidak jelas asal-usulnya. Anda akan...","Menolak dengan tegas dan logis.","Menolak dengan halus dan menyarankan donasi ke lembaga resmi yang diakui pemerintah.",5,"Langsung memblokir nomor kontaknya.",3,"Menyumbang sedikit sekadar untuk menghargai teman.",2,"Melaporkan teman tersebut ke pihak berwajib atas tuduhan pendanaan teroris.",4,"Mengiyakan namun tidak mentransfer uangnya.",1
TKP,TIK,SEDANG,"Sebagai humas pemerintah, Anda ditugaskan membuat konten media sosial untuk menenangkan masyarakat terkait isu kelangkaan akibat perang global. Pendekatan Anda?","Membuat infografis dan data yang jelas.","Menyajikan data ketersediaan logistik nasional secara menarik dan mudah dipahami.",5,"Membuat postingan panjang berisi teks pidato menteri.",3,"Membeli followers agar postingan cepat viral.",1,"Membagikan ulang postingan dari media berita ternama tanpa tambahan.",4,"Membuat kuis berhadiah agar masyarakat lupa dengan isu tersebut.",2
TKP,Profesionalisme,SULIT,"Gangguan pelayaran di Selat Hormuz membuat pengiriman alat kantor impor tertunda berbulan-bulan, padahal sangat dibutuhkan. Sebagai staf logistik, apa yang Anda lakukan?","Mencari solusi alternatif.","Mencari substitusi barang lokal yang spesifikasinya mendekati dan ready stock.",5,"Menunggu barang impor datang sambil menunda semua pekerjaan.",2,"Menyalahkan pihak ekspedisi secara terbuka.",1,"Melaporkan kepada atasan dan meminta petunjuk tanpa memberi solusi.",4,"Meminjam alat dari instansi lain untuk sementara waktu.",3
TKP,Jejaring Kerja,SEDANG,"Tim Anda sedang menyusun kajian dampak blokade Selat Hormuz terhadap industri nasional, namun anggota tim dari lintas kementerian sulit diajak berkoordinasi. Sikap Anda?","Proaktif membangun komunikasi.","Menginisiasi rapat daring singkat dan membuat grup kerja agar komunikasi lebih cair.",5,"Mengerjakan kajian itu sendiri agar cepat selesai.",3,"Melaporkan anggota yang pasif kepada atasan masing-masing.",4,"Menunggu sampai mereka merespon dengan sendirinya.",2,"Menunda penyelesaian kajian sampai semua bersedia bekerja.",1
TKP,Pelayanan Publik,MUDAH,"Kenaikan harga BBM akibat krisis Selat Hormuz memicu unjuk rasa warga yang menyebabkan jalan menuju kantor Anda ditutup. Anda bertugas di loket pelayanan. Tindakan Anda?","Tetap berusaha memberikan pelayanan.","Berangkat lebih awal lewat jalur alternatif agar pelayanan di loket tetap berjalan.",5,"Mengambil cuti dadakan dengan alasan jalan diblokir.",2,"Menunggu di rumah sampai jalanan dibuka oleh petugas.",3,"Meminta rekan kerja lain menggantikan tugas saya hari itu.",4,"Ikut menonton unjuk rasa dari kejauhan.",1
TKP,TIK,SEDANG,"Anda melihat ada sistem monitoring pelayaran (AIS) di kantor yang masih menggunakan software lama dan kurang akurat dalam memantau wilayah kritis seperti Selat Hormuz. Anda akan...","Inovasi TIK.","Membuat proposal usulan pembaruan software dengan memaparkan manfaat dan biayanya.",5,"Membeli software baru menggunakan uang pribadi.",2,"Menceritakan kelemahan sistem tersebut kepada teman di luar kantor.",1,"Menggunakan sistem yang ada sebatas kewajiban tanpa komplain.",3,"Mendiskusikan kelemahan tersebut dengan rekan kerja saat makan siang.",4
TKP,Profesionalisme,SULIT,"Anda ditugaskan mendampingi delegasi Indonesia dalam konferensi maritim internasional terkait keamanan Selat Hormuz. Anda belum terlalu menguasai isu teknisnya. Apa yang Anda lakukan?","Belajar cepat dan proaktif.","Segera mempelajari materi, membaca jurnal terkait, dan berdiskusi dengan ahli di kantor.",5,"Meminta atasan mengganti saya dengan orang yang lebih kompeten.",3,"Menyiapkan diri seadanya dan berharap tidak ditanya hal teknis.",2,"Fokus pada urusan administratif delegasi dan mengabaikan substansi.",4,"Hanya mengandalkan google saat konferensi berlangsung.",1
TKP,Sosial Budaya,SEDANG,"Rekan kerja Anda yang memiliki keluarga di sekitar kawasan Timur Tengah (Selat Hormuz) tampak sangat cemas setiap hari dan kinerjanya menurun. Anda akan...","Empati.","Mendengarkan keluh kesahnya dan menawarkan bantuan untuk mem-backup pekerjaannya sementara.",5,"Membiarkan saja karena itu masalah pribadinya.",2,"Menegurnya agar memisahkan urusan pribadi dengan pekerjaan.",3,"Menyarankannya untuk mengambil cuti agar tidak mengganggu tim.",4,"Menceritakan kondisinya kepada semua orang di kantor agar maklum.",1
TKP,Anti Radikalisme,SULIT,"Di sebuah forum diskusi online ketahanan energi terkait krisis Hormuz, ada anggota yang mulai mempromosikan ideologi ekstrem untuk menggulingkan pemerintah sah sebagai solusi krisis. Sikap Anda?","Mencegah paham radikal di ruang digital.","Melaporkan akun tersebut kepada admin forum/cyber crime dan memberikan bantahan logis.",5,"Ikut mengiyakan karena terbawa emosi.",1,"Diam saja dan langsung keluar dari forum tersebut.",3,"Mengabaikan komentarnya dan fokus pada topik energi.",4,"Berdebat kasar dengannya di forum tersebut.",2
TKP,Jejaring Kerja,MUDAH,"Untuk mengamankan pasokan minyak cadangan, instansi Anda harus bekerja sama dengan BUMN migas. Anda ditunjuk sebagai penghubung (liaison). Langkah awal Anda?","Membangun komunikasi awal yang baik.","Menghubungi PIC dari BUMN tersebut untuk perkenalan dan menyepakati alur komunikasi.",5,"Langsung mengirimkan setumpuk dokumen persyaratan yang harus mereka penuhi.",3,"Menunggu pihak BUMN yang menghubungi saya duluan karena instansi saya lebih tinggi.",1,"Menyusun draft MoU sepihak dan memaksa mereka tanda tangan.",2,"Mengajak PIC BUMN tersebut makan siang mewah menggunakan dana kantor.",4
TKP,Pelayanan Publik,SULIT,"Sekolah di tempat Anda bertugas mendapat alokasi program Makan Bergizi Gratis (MBG), namun menu yang dikirimkan vendor hari itu banyak yang basi. Sebagai guru/ASN, apa tindakan Anda?","Mengutamakan keselamatan penerima layanan.","Mencegah siswa memakannya, mendokumentasikan, dan segera melaporkan ke pihak terkait/vendor.",5,"Menyuruh siswa memilah makanan yang masih bagus saja untuk dimakan.",2,"Membagikannya saja karena sayang jika dibuang.",1,"Membuang semuanya tanpa membuat laporan apapun.",3,"Memarahi pihak vendor di media sosial agar viral.",4
TKP,Profesionalisme,SEDANG,"Anda bertugas sebagai tim verifikator data calon siswa penerima program MBG. Seorang kerabat meminta Anda untuk memasukkan nama anaknya yang sebenarnya berasal dari keluarga sangat mampu. Anda akan...","Menjaga integritas dan objektivitas.","Menolak dengan halus dan menjelaskan bahwa sistem verifikasi didasarkan pada data objektif.",5,"Memasukkan nama anaknya agar hubungan keluarga tidak rusak.",1,"Berjanji akan mengusahakan meskipun tahu tidak bisa.",3,"Menyarankan kerabat tersebut mendaftar melalui jalur tidak resmi.",2,"Menerima permintaannya dengan syarat ia memberikan donasi ke sekolah.",4
TKP,Jejaring Kerja,SULIT,"Agar program MBG sukses di desa Anda, diperlukan pasokan bahan segar setiap hari. Sebagai aparat desa, bagaimana Anda mengelola hal ini?","Pemberdayaan masyarakat sekitar.","Berkoordinasi dengan kelompok tani lokal dan penyedia jasa katering desa sebagai mitra utama.",5,"Mencari vendor besar dari luar kota agar lebih praktis.",3,"Membeli bahan baku sendiri di pasar induk setiap pagi.",4,"Menyerahkan sepenuhnya kepada kepala sekolah untuk mengatur.",2,"Meminta sumbangan dari warga untuk menutupi kekurangan logistik.",1
